path	node_id	zone_id	zone_label	status	classes	functions	lines	bytes	sha256
src/mechanist/AssetRegistryHardeningAuthority.java	M_src_mechanist_AssetRegistryHardeningAuthority_java	UI_RENDER	UI Render Surfaces	positioned	2	7	175	7412	4d1a24ccf56f73177650c1c27900d9c1bf42e1edc84bc9eb580344baad9fd98e
src/mechanist/AudioRuntimeFramework.java	M_src_mechanist_AudioRuntimeFramework_java	UI_RENDER	UI Render Surfaces	positioned	2	43	424	22717	3e235e273c3c0c80d41f43fd802e2fbcecc0819169989cf5372f51fe131ea4c3
src/mechanist/AuthoritativeAeadPacketValidator.java	M_src_mechanist_AuthoritativeAeadPacketValidator_java	UI_RENDER	UI Render Surfaces	positioned	3	8	111	5691	67b11aafcd73866b8e26c262f2d495385b6cf106616d4ca59081896997c1397b
src/mechanist/AuthoritativeWorldGrid.java	M_src_mechanist_AuthoritativeWorldGrid_java	WORLD_GEN	World Generation Transition	positioned	3	7	57	2082	4d2932f4ebf515e8816325fcb921fa32054258e1dd68893d15de89e8064bf4b2
src/mechanist/AuthoritativeWorldRuntime.java	M_src_mechanist_AuthoritativeWorldRuntime_java	UI_RENDER	UI Render Surfaces	positioned	3	14	173	8819	ddb1868c3e598acfb030d0b81159c715e786668fb3ced372eada1331b9d598d3
src/mechanist/BarMarketSocialFixtureAuthority.java	M_src_mechanist_BarMarketSocialFixtureAuthority_java	UI_RENDER	UI Render Surfaces	positioned	2	21	202	12127	32eb8edb5796be1d801511058d2dd68bed2937c5ce18440df2c71e163e753e7a
src/mechanist/BlueprintConstructionAuthority.java	M_src_mechanist_BlueprintConstructionAuthority_java	UI_INPUT	UI Input Navigation	positioned	15	27	299	17641	02d517d29dc9ccb19d7fa50858c904033099f1b2b9faa0415cb47218889c2e92
src/mechanist/BootSurfacePainter.java	M_src_mechanist_BootSurfacePainter_java	UI_RENDER	UI Render Surfaces	positioned	1	2	35	1535	804927bed7c70af56fd0e02370c4044bfcf1ece26ce7b0be84f02a947a3a75af
src/mechanist/CharacterIdentityFramework.java	M_src_mechanist_CharacterIdentityFramework_java	UI_RENDER	UI Render Surfaces	positioned	8	52	430	34982	61920a320ffc535f3af737272955ee34a12382cc8198b24dc17b9e33f4ee8691
src/mechanist/CharacterNameKeyController.java	M_src_mechanist_CharacterNameKeyController_java	UI_RENDER	UI Render Surfaces	positioned	1	2	38	1500	a5df4e15f50a74f420448ec69822f0231dd8262b5eb1200f21585131326280b2
src/mechanist/CharacterSaveManager.java	M_src_mechanist_CharacterSaveManager_java	UI_INPUT	UI Input Navigation	positioned	1	6	79	3920	c12b579d9f186ce74ffc45fb4f2736d093282a81020d1a122f6f0daa5b7274af
src/mechanist/CharacterStateRecord.java	M_src_mechanist_CharacterStateRecord_java	UI_INPUT	UI Input Navigation	positioned	1	5	84	4058	12a9bbc6e9c75ebad37e22bee501036bad855526efeffcd24047aad3f10adeeb
src/mechanist/ChatRuntimeAuthority.java	M_src_mechanist_ChatRuntimeAuthority_java	UI_RENDER	UI Render Surfaces	positioned	5	25	322	14901	c17aa58581caad865576077603accf7cfb46a2ae47dae9ea8134af0f5468c9d4
src/mechanist/ClientLauncherContext.java	M_src_mechanist_ClientLauncherContext_java	UI_INPUT	UI Input Navigation	positioned	3	17	203	8303	42725f0f4da721a0db749c7616aa38a7d9524bfbbc10c298789952d1e040d564
src/mechanist/ClientPackageLaunchAuthority.java	M_src_mechanist_ClientPackageLaunchAuthority_java	RUNTIME_OPTIONS	Runtime Options	positioned	1	7	100	4023	c0e85bce8cb23fd5219a959fe8272c23b24e739c40a2e8aa7474de10785c4e9a
src/mechanist/Clothing.java	M_src_mechanist_Clothing_java	UI_RENDER	UI Render Surfaces	positioned	1	5	28	1352	97eccc886fd6dab86a3e9f942cf070d400cf4a903f01cd8d6947fcb7089df38d
