path	class	kind	line	owner_zone	file_lines	sha256
src/mechanist/WorldCommandRequest.java	ConfirmInteractionCommand	record	49	world.generation.transition	171	c466fc805cabb5a48900090fc922084a52eb3cb3255b68bbc0b0545e1af875b7
src/mechanist/WorldCommandRequest.java	ConfirmCombatCommand	record	60	world.generation.transition	171	c466fc805cabb5a48900090fc922084a52eb3cb3255b68bbc0b0545e1af875b7
src/mechanist/WorldCommandRequest.java	UseInventoryCommand	record	71	world.generation.transition	171	c466fc805cabb5a48900090fc922084a52eb3cb3255b68bbc0b0545e1af875b7
src/mechanist/WorldCommandRequest.java	UnequipEquipmentCommand	record	76	world.generation.transition	171	c466fc805cabb5a48900090fc922084a52eb3cb3255b68bbc0b0545e1af875b7
src/mechanist/WorldCommandRequest.java	ChangeZoneCommand	record	87	world.generation.transition	171	c466fc805cabb5a48900090fc922084a52eb3cb3255b68bbc0b0545e1af875b7
src/mechanist/WorldCommandRequest.java	AdminAddMoneyCommand	record	92	world.generation.transition	171	c466fc805cabb5a48900090fc922084a52eb3cb3255b68bbc0b0545e1af875b7
src/mechanist/WorldCommandRequest.java	AdminAdvanceTurnCommand	record	109	world.generation.transition	171	c466fc805cabb5a48900090fc922084a52eb3cb3255b68bbc0b0545e1af875b7
src/mechanist/WorldCommandRequest.java	AdminTeleportCommand	record	126	world.generation.transition	171	c466fc805cabb5a48900090fc922084a52eb3cb3255b68bbc0b0545e1af875b7
src/mechanist/WorldCommandRequest.java	AdminSpawnItemCommand	record	144	world.generation.transition	171	c466fc805cabb5a48900090fc922084a52eb3cb3255b68bbc0b0545e1af875b7
src/mechanist/WorldCommandRequest.java	ConsoleCommandRequest	record	165	world.generation.transition	171	c466fc805cabb5a48900090fc922084a52eb3cb3255b68bbc0b0545e1af875b7
src/mechanist/WorldCommandRuntimeContext.java	WorldCommandRuntimeContext	interface	10	runtime.options	80	fda0720f20cf07bd24b3d49c1d656163d99c7b15bb9119af202809f246bbb6de
src/mechanist/WorldCommandRuntimeContext.java	WorldCommandRuntimeContexts	class	30	runtime.options	80	fda0720f20cf07bd24b3d49c1d656163d99c7b15bb9119af202809f246bbb6de
src/mechanist/WorldCommandRuntimeContext.java	GamePanelWorldCommandRuntimeContext	class	38	ui.render.surface	80	fda0720f20cf07bd24b3d49c1d656163d99c7b15bb9119af202809f246bbb6de
src/mechanist/WorldEconomyInitializationAuthority.java	WorldEconomyInitializationAuthority	class	12	world.generation.transition	153	d6c8602b77dbd93ecce6fda4869f8913b68eb130b47c4d014ecd40bd5d9c2483
src/mechanist/WorldEconomyInitializationAuthority.java	Result	class	134	world.generation.transition	153	d6c8602b77dbd93ecce6fda4869f8913b68eb130b47c4d014ecd40bd5d9c2483
src/mechanist/WorldGenerationPipelineRunState.java	WorldGenerationPipelineRunState	class	6	world.generation.transition	13	baec67aa7e943a1d1fc41e214458ea13914ed56be0e79184d6a868ad6ba2f469
src/mechanist/WorldRuntimeGenerationFramework.java	WorldAtlas	class	6	ui.render.surface	8163	639df29f87a6227fcf6a0e3204a2f5daaf8d64900641a06a4ea3f9442fbd2b15
src/mechanist/WorldRuntimeGenerationFramework.java	World	class	90	ui.render.surface	8163	639df29f87a6227fcf6a0e3204a2f5daaf8d64900641a06a4ea3f9442fbd2b15
src/mechanist/WorldRuntimeGenerationFramework.java	ConnectionChoice	class	2030	ui.render.surface	8163	639df29f87a6227fcf6a0e3204a2f5daaf8d64900641a06a4ea3f9442fbd2b15
src/mechanist/WorldRuntimeGenerationFramework.java	CorridorComponent	class	2750	ui.render.surface	8163	639df29f87a6227fcf6a0e3204a2f5daaf8d64900641a06a4ea3f9442fbd2b15
src/mechanist/WorldRuntimeGenerationFramework.java	HivewallRoomCacheApi	class	3583	ui.render.surface	8163	639df29f87a6227fcf6a0e3204a2f5daaf8d64900641a06a4ea3f9442fbd2b15
src/mechanist/WorldRuntimeGenerationFramework.java	BoundedOuterHiveWallApi	class	3653	ui.render.surface	8163	639df29f87a6227fcf6a0e3204a2f5daaf8d64900641a06a4ea3f9442fbd2b15
src/mechanist/WorldRuntimeGenerationFramework.java	Result	class	3665	ui.render.surface	8163	639df29f87a6227fcf6a0e3204a2f5daaf8d64900641a06a4ea3f9442fbd2b15
src/mechanist/WorldRuntimeGenerationFramework.java	InterstitialInfrastructureApi	class	4053	ui.render.surface	8163	639df29f87a6227fcf6a0e3204a2f5daaf8d64900641a06a4ea3f9442fbd2b15
src/mechanist/WorldRuntimeGenerationFramework.java	WorldGenerationApi	class	4189	ui.render.surface	8163	639df29f87a6227fcf6a0e3204a2f5daaf8d64900641a06a4ea3f9442fbd2b15
